id,slug,name_en,name_bn,hydrological_class,water_body_type,water_body_subtype,district,upazila,latitude,longitude,transboundary_flag,transboundary_countries
BD-WB-0112,kumar,Kumar,কুমার,LOTIC,River,Distributary,,,23.64245543860489,89.2078021022346,false,
BD-WB-0113,ichamati-kalindi,Ichamati-Kalindi,ইছামতী-কালিন্দী,LOTIC,River,Transboundary / Boundary River,,,22.6178904,88.9425836,true,India
BD-WB-0114,raimangal,Raimangal,রায়মঙ্গল,LOTIC,River,Estuarine / Boundary River,,,21.79491458963236,89.12289811411134,true,India
BD-WB-0115,pashur,Pashur,পশুর,LOTIC,River,Estuarine River,,,22.21393976916782,89.58740977901867,false,
BD-WB-0116,andhar-manik,Andhar Manik,আন্ধারমানিক,LOTIC,River,Coastal River,Patuakhali,,21.9851561,90.23105559999999,false,
BD-WB-0117,betna,Betna,বেতনা,LOTIC,River,Tidal / Transboundary River,,,22.90274918874813,89.02469050823333,true,India
BD-WB-0118,ghaghat,Ghaghat,ঘাঘট,LOTIC,River,Distributary,,,25.64327196727139,89.35975113801771,false,
BD-WB-0119,chandana-barasia,Chandana-Barasia,চন্দনা-বারাসিয়া,LOTIC,River,Distributary,,,23.26818520369524,89.7191950784388,false,
BD-WB-0120,little-feni,Little Feni,ছোট ফেনী,LOTIC,River,Transboundary River,,,22.7796301,91.37856769999999,true,India
BD-WB-0121,kacha,Kacha,কচা,LOTIC,River,Coastal / Tidal River,,,23.684994,90.356331,false,
BD-WB-0122,sandhya,Sandhya,সন্ধ্যা,LOTIC,River,Southern Delta River,,,22.65560649944598,90.0583447145824,false,
BD-WB-0123,panguchi,Panguchi,পানগুছি,LOTIC,River,Tidal River,,,23.684994,90.356331,false,
BD-WB-0124,rabnabad,Rabnabad,রাবনাবাদ,LOTIC,River,Estuarine River,,,22.4957226,90.3547269,false,
BD-WB-0125,bhogai-kangsha,Bhogai-Kangsha,ভোগাই-কংস,LOTIC,River,Transboundary River System,,,23.0848425,91.1351443,true,India
BD-WB-0126,hurasagar,Hurasagar,হুরাসাগর,LOTIC,River,Confluence / Drainage River,,,23.9999515,89.6340867,false,
BD-WB-0127,kaliganga-manikganj,Kaliganga (Manikganj),কালীগঙ্গা (মানিকগঞ্জ),LOTIC,River,Distributary / Regional River,,,23.85828249836724,90.01876902090483,false,
BD-WB-0128,shibsa,Shibsa,শিবসা,LOTIC,River,Tidal / Estuarine River,,,22.26727579805228,89.4741457568276,false,
BD-WB-0129,kholpetua,Kholpetua,খোলপেটুয়া,LOTIC,River,Tidal / Estuarine River,,,22.39149325904194,89.24190295658153,false,
BD-WB-0130,sugandha,Sugandha,সুগন্ধা,LOTIC,River,Southern Delta River,,,23.684994,90.356331,false,
BD-WB-0131,narasunda,Narasunda,নরসুন্দা,LOTIC,River,Old Brahmaputra Network River,,,24.43612026470998,90.78954290295479,false,
BD-WB-0132,jingiram,Jingiram,জিঞ্জিরাম,LOTIC,River,Regional River,,,23.684994,90.356331,false,
BD-WB-0133,chengi,Chengi,চেঙ্গী,LOTIC,River,Hill River,,,23.19116621648088,91.96869051468124,false,
BD-WB-0134,maini,Maini,মাইনী,LOTIC,River,Hill River,,,23.684994,90.356331,false,
BD-WB-0135,atharabanki,Atharabanki,আঠারবাঁকী,LOTIC,River,Southwestern River,,,25.5123652,89.7409297,false,
BD-WB-0136,arial-khan-narsingdi,Arial Khan (Narsingdi),আড়িয়াল খাঁ (নরসিংদী),LOTIC,River,Regional River,,,24.07987508553222,90.8532170851439,false,
BD-WB-0137,ghaghar,Ghaghar,ঘাঘর,LOTIC,River,Regional River,,,23.03991787209658,90.00000000000001,false,
BD-WB-0138,banar,Banar,বানার,LOTIC,River,Old Brahmaputra / Shitalakshya Network River,,,24.0728887,90.63386840000001,false,
BD-WB-0139,mongla,Mongla,মোংলা,LOTIC,River,Tidal River,,,22.51816407837504,89.68150786376819,false,
BD-WB-0140,agunmukha,Agunmukha,আগুনমুখা,LOTIC,River,Estuarine / Coastal River,,,21.95094726537947,90.49625522577217,false,
BD-WB-0141,shahbazpur-channel,Shahbazpur Channel,শাহবাজপুর চ্যানেল,LOTIC,River,Lower Meghna Estuarine Channel,,,22.23619063388623,90.88669476163244,false,
