SL,Station ID,Station,River,Tidal Status,District,Upazila,Latitude,Longitude
241,SW228,Mymensingh,Old Brahmaputra,Non-Tidal,Mymensingh,Mymensingh Sadar,24.7366,90.4300
242,SW228.5,Mymensingh,Old Brahmaputra,Non-Tidal,Mymensingh,Mymensingh Sadar,24.7367,90.4296
243,SW35.5,Sarchapur_Mymensingh,Bhogai-Kangsa,Non-Tidal,Mymensingh,Phulpur,24.9969,90.3584
244,SW147,Atrai Rly. Bridge,Karatoa-Atrai-Gur-Gumani-Hurasagar,Non-Tidal,Naogaon,Atrai,24.6123,88.9769
245,SW144,Chak Hariharpur,Karatoa-Atrai-Gur-Gumani-Hurasagar,Non-Tidal,Naogaon,Dhamoirhat,25.1702,88.7513
246,SW145,Mohadebpur,Karatoa-Atrai-Gur-Gumani-Hurasagar,Non-Tidal,Naogaon,Mahadebpur,24.9183,88.7450
247,SW82,Jote Bazar_Offtake,Karatoa-Atrai-Gur-Gumani-Hurasagar,Non-Tidal,Naogaon,Manda,24.7240,88.7452
248,SW133,Naogaon,Little Jamuna,Non-Tidal,Naogaon,Naogaon Sadar,24.8087,88.9466
249,SW237,Nithpur,Punarbhaba,Non-Tidal,Naogaon,Porsha,25.0339,88.4506
250,SW219,Gazirhat,Nabaganga,Tidal,Narail,Kalia,22.9831,89.5617
251,SW218,Bardia(Nabaganga),Nabaganga,Tidal,Narail,Kalia,23.0834,89.6708
252,SW103,Bardia(Madhumati),Gorai-Madhumati-Haringhata-Baleswar,Tidal,Narail,Kalia,23.0988,89.6952
253,SW217A,Lohagara,Nabaganga,Tidal,Narail,Lohagara,23.1846,89.6485
254,SW55.1,Rathandanga,Chitra,Tidal,Narail,Narail Sadar,23.1969,89.5158
255,SW54,Kaliganj,Chitra,Tidal,Narail,Narail Sadar,23.4097,89.1400
256,SW217,Kala Chandpur,Nabaganga,Tidal,Narail,Narail Sadar,23.2396,89.5303
257,SW55,Khatur Magura,Chitra,Tidal,Narail,Narail Sadar,23.1925,89.4416
258,SW56.1,Narail,Chitra,Tidal,Narail,Narail Sadar,23.1688,89.5119
259,SW71,Kalagachia,Dhaleswari,Tidal,Narayanganj,Narayanganj Sadar,23.5700,90.5047
260,SW43,Hariharpara,Buriganga,Tidal,Narayanganj,Narayanganj Sadar,23.6335,90.4693
