SL,Station ID,Station,River,Tidal Status,District,Upazila,Latitude,Longitude
17,SW108,Chardoani,Gorai-Madhumati-Haringhata-Baleswar,Tidal,Barguna,Patharghata,22.1075,89.9100
18,SW39,Patharghata,Bishkhali,Tidal,Barguna,Patharghata,22.0134,89.9642
19,SW318,Babuganj,Babuganj,Tidal,Barisal,Babuganj,22.8182,90.3212
20,SW183,Kaitpara,Lohalia,Tidal,Barisal,Bakerganj,22.5167,90.4327
21,SW18.1,Bakerganj,Barisal-Buriswar,Tidal,Barisal,Bakerganj,22.5429,90.3386
22,SW18,Barisal,Kirtankhola,Tidal,Barisal,Barisal Sadar,22.6966,90.3740
23,SW288.3,Tongibari,Tentulia (Barisal-Bhola),Tidal,Barisal,Barisal Sadar,22.6882,90.4894
24,SW300,Gournadi,Torki,Tidal,Barisal,Gaurnadi,22.9760,90.2305
25,SW323,Abupur,Naya Bhangani,Tidal,Barisal,Hizla,22.9741,90.4641
26,SW320,Hizla,Dharmajani,Tidal,Barisal,Hizla,22.8907,90.5046
27,SW253A,Uzirpur,Swarupkati/Sandha,Tidal,Barisal,Wazirpur,22.8119,90.2408
28,SW288.4,Bhola Kheya ghat,Tentulia (Barisal-Bhola),Tidal,Bhola,Bhola Sadar,22.6766,90.6062
29,SW278,Daulatkhan,Surma-Meghna,Tidal,Bhola,Daulatkhan,22.6038,90.7483
30,SW279,Tajumuddin,Surma-Meghna,Tidal,Bhola,Tazumuddin,22.4088,90.8526
31,SW65,Bogra,Deonai_Charalkata_Jamuneswari_Karatoa,Non-Tidal,Bogura,Bogura Sadar,24.8459,89.3792
32,SW324,Dhunot,Old Bangali,Non-Tidal,Bogura,Dhunot,24.6848,89.5428
33,SW312,Talora Rly.Cros,Nagor,Non-Tidal,Bogura,Dhupchanchia,24.8261,89.1889
34,SW306,Gabtali,Ichamati (Outfall),Non-Tidal,Bogura,Gabtali,24.9030,89.4600
35,SW15J,Mathurpara-Milanpur,Brahmaputra-Jamuna,Non-Tidal,Bogura,Shariakandi,24.8375,89.5872
36,SW11A,Shariakandi,Bangali,Non-Tidal,Bogura,Shariakandi,24.8744,89.5655
37,SW11,Khanpur,Bangali,Non-Tidal,Bogura,Sherpur,24.6289,89.4644
38,SW64,Shibganj,Deonai_Charalkata_Jamuneswari_Karatoa,Non-Tidal,Bogura,Shibganj,25.1708,89.3205
39,SW10,Simulbari,Bangali,Non-Tidal,Bogura,Sonatola,25.0497,89.5226
40,SW123,Gangasagar Rly.,Hawrah,Non-Tidal,Brahmanbaria,Akhaura,23.8335,91.1985
41,SW296,Akhaura,Titas,Tidal,Brahmanbaria,Akhaura,23.8798,91.1993
42,SW359,Harashpur,Lohor,Non-Tidal,Brahmanbaria,Bijoynagar,24.0168,91.2991
43,SW3A,Brahmanbaria,Anderson khal,Tidal,Brahmanbaria,Brahamanbaria Sadar,23.9569,91.1196
44,SW297,Gokarnaghat,Titas,Tidal,Brahmanbaria,Brahamanbaria Sadar,23.9531,91.0831
45,SW3,Brahmanbaria Rly_Bridge,Anderson khal,Tidal,Brahmanbaria,Brahamanbaria Sadar,23.9566,91.1200
46,SW330,Bijni Rly Bridge,Bijni,Non-Tidal,Brahmanbaria,Kasba,23.6733,91.1600
47,SW298.5,Salimganj,Titas,Tidal,Brahmanbaria,Nabinagar,23.8486,90.8453
48,SW298,Nabinagar,Titas,Tidal,Brahmanbaria,Nabinagar,23.9051,90.9735
49,SW295,Ajabpur,Titas,Tidal,Brahmanbaria,Sarail,24.1212,91.0548
50,SW277,Chandpur,Surma-Meghna,Tidal,Chandpur,Chandpur Sadar,23.2290,90.6448
51,SW277.3,Nilkamal,Surma-Meghna,Tidal,Chandpur,Haimchar,23.0843,90.6492
52,SW58A,Laksam,Dakatia,Non-Tidal,Chandpur,Hajiganj,23.2338,91.1189
53,SW58,Hajiganj,Dakatia,Tidal,Chandpur,Hajiganj,23.2489,90.8613
54,SW276,Satnal,Surma-Meghna,Tidal,Chandpur,Matlab Dakshin,23.4805,90.5932
55,SW79,Matlab Bazar,Dhanagoda,Tidal,Chandpur,Matlab Uttar,23.3548,90.7098
56,SW250,Banigram,Sangu,Tidal,Chattogram,Bashkhali,22.1217,91.8947
57,SW248,Dohazari,Sangu,Tidal,Chattogram,Chandanaish,22.1593,92.0671
58,SW152.2,Kalurghat,Karnafuli,Tidal,Chattogram,Chittagong Sadar,22.3946,91.8908
59,SW121,Enayethat,Halda,Tidal,Chattogram,Chittagong Sadar,22.4197,91.8823
60,SW153,Chittagong,Karnafuli,Tidal,Chattogram,Chittagong Sadar,22.3229,91.8300
61,SW119A,South Sundarpur,Halda,Tidal,Chattogram,Fatikchhari,22.6781,91.7800
62,SW356,Bainochhola,Dhurang Khal,Non-Tidal,Chattogram,Fatikchhari,22.7615,91.8685
63,SW117,Narayanhat,Halda,Non-Tidal,Chattogram,Fatikchhari,22.8120,91.7210
64,SW119.1,Panchpukuria,Halda,Non-Tidal,Chattogram,Fatikchhari,22.6670,91.7821
65,SW357,Akulia,Dhurang Khal,Non-Tidal,Chattogram,Fatikchhari,22.6810,91.7778
66,SW120,Telpari,Halda,Tidal,Chattogram,Hathazari,22.5575,91.8441
67,SW84.1,Kaliachari,Feni,Non-Tidal,Chattogram,Mirsharai,22.9390,91.6157
68,SW124,Thandachari,Ichamati(Rangamati),Non-Tidal,Chattogram,Rangunia,22.5700,92.0404
69,SW125,Outfall Karnafuli(Rangunia),Ichamati(Rangamati),Tidal,Chattogram,Rangunia,22.4594,92.0648
70,SW206,Hatboalia,Mathabhanga,Non-Tidal,Chuadanga,Alamdanga,23.8264,88.8626
71,SW207,Chuadanga,Mathabhanga,Non-Tidal,Chuadanga,Chuadanga Sadar,23.6479,88.8455
72,SW208,Darsana,Mathabhanga,Non-Tidal,Chuadanga,Damurhuda,23.5246,88.7884
73,SW160,Andulbaria,Kobadak,Tidal,Chuadanga,Jjbannagar,23.4760,88.9100
74,SW204,Chiringa,Matamuhuri,Tidal,Coxs Bazar,Chakaria,21.7710,92.0813
75,SW41,Coxs Bazar,Bogkhali,Tidal,Coxs Bazar,Cox's Bazar Sadar,21.4480,91.9800
76,SW176,Lemsikhali,Kutubdia Channel,Tidal,Coxs Bazar,Kutubdia,21.8132,91.8752
77,SW200,Saflapur_Moheshkhali,Moheshkhali Channel,Tidal,Coxs Bazar,Maheshkhali,21.6594,91.9685
78,SW40,Ramu,Bogkhali,Non-Tidal,Coxs Bazar,Ramu,21.4205,92.1098
79,SW358,Rongikhali,Naf,Tidal,Coxs Bazar,Teknaf,21.0484,92.2539
80,SW339,Salda Rly Bridg,Salda,Non-Tidal,Cumilla,Brahmanpara,23.6716,91.1564
81,SW111,Sholanal,Gumti-Burinadi,Tidal,Cumilla,Burichang,23.4864,91.1700
82,SW113,Kangsanagar,Gumti-Burinadi,Non-Tidal,Cumilla,Burichang,23.5553,91.0647
83,SW334,Miar Bazar,Kakri,Non-Tidal,Cumilla,Chauddagram,23.3351,91.2693
84,SW181A,Selonia,Little Feni Dakatia,Non-Tidal,Cumilla,Chauddagram,22.9823,91.3375
85,SW181,Gunabati Rly.Br,Little Feni Dakatia,Non-Tidal,Cumilla,Chauddagram,23.1013,91.2778
86,SW348,Chowara,Sonaichari_Khal,Non-Tidal,Cumilla,Cumilla Sadar,23.4161,91.2207
87,SW109,Bibirbazar,Gumti-Burinadi,Non-Tidal,Cumilla,Cumilla Sadar,23.4706,91.2448
88,SW110,Cumilla,Gumti-Burinadi,Non-Tidal,Cumilla,Cumilla Sadar,23.4704,91.2027
89,SW115,Daudkandi,Gumti-Burinadi,Tidal,Cumilla,Daudkandi,23.5405,90.7148
90,SW114,Jibanpur_Gumti,Gumti-Burinadi,Non-Tidal,Cumilla,Debidwar,23.6056,90.9942
91,SW112,Gubindapur,Gumti-Burinadi,Tidal,Cumilla,Laksam,23.5256,91.1100
92,SW7.5,Demra(Balu),Balu,Tidal,Dhaka,Demra,23.7329,90.4965
93,SW179,Demra(Lakhya),Lakhya,Tidal,Dhaka,Demra,23.7278,90.5059
94,SW42,Dhaka_Mill Barrack,Buriganga,Tidal,Dhaka,Dhaka Sadar(Kotwal,23.6969,90.4195
95,SW70,Kalatia_Outfall,Dhaleswari,Tidal,Dhaka,Keraniganj,23.7304,90.2561
96,SW302,Mirpur,Turag,Tidal,Dhaka,Mirpur,23.7846,90.3364
97,SW69,Savar,Dhaleswari,Tidal,Dhaka,Savar,23.8403,90.2439
98,SW14.5,Nayarhat,Bangshi,Tidal,Dhaka,Savar,23.9057,90.2310
99,SW299,Tongi,Tongi Khal,Tidal,Dhaka,Uttara,23.8824,90.4021
100,SW340,Kazipara,Tentulia (Dinajpur),Non-Tidal,Dinajpur,Biral,25.6207,88.4995
101,SW235A,Prannagar,Punarbhaba,Non-Tidal,Dinajpur,Birganj,25.9111,88.5648
102,SW287,Kodalkatigaon,Tangon,Non-Tidal,Dinajpur,Bochaganj,25.7037,88.4367
103,SW236,Dinajpur_Pulhat,Punarbhaba,Non-Tidal,Dinajpur,Dinajpur Sadar,25.6156,88.6257
104,SW142.1,Bhushirbandar,Karatoa-Atrai-Gur-Gumani-Hurasagar,Non-Tidal,Dinajpur,Dinajpur Sadar,25.7700,88.7313
105,SW143,Shamjhiaghat,Karatoa-Atrai-Gur-Gumani-Hurasagar,Non-Tidal,Dinajpur,Dinajpur Sadar,25.5413,88.7586
106,SW132.2,Phulbari,Little Jamuna,Non-Tidal,Dinajpur,Fulbari,25.5004,88.9515
107,SW78,Kantanagar,Dhepa,Non-Tidal,Dinajpur,Kaharole,25.8134,88.6746
108,SW235,Kaharol,Punarbhaba,Non-Tidal,Dinajpur,Kaharole,25.7942,88.6000
109,SW142,Khansama,Karatoa-Atrai-Gur-Gumani-Hurasagar,Non-Tidal,Dinajpur,Khansama,25.9306,88.7257
110,SW62.5,Siraj,Deonai_Charalkata_Jamuneswari_Karatoa,Non-Tidal,Dinajpur,Nawabganj,25.4094,89.1571
111,SW132,Manmathpur,Little Jamuna,Non-Tidal,Dinajpur,Parbatipur,25.6578,88.8414
112,SW170,Bhanga,Kumar_Faridpur,Tidal,Faridpur,Bhanga,23.3872,89.9750
113,SW52,Ghosepur,Chandana Arakandikhal,Non-Tidal,Faridpur,Boalmari,23.4355,89.6626
114,SW167,Ibrahimdi,Kumar_Faridpur,Tidal,Faridpur,Boalmari,23.5615,89.7900
115,SW169,Mazurdia,Kumar_Faridpur,Non-Tidal,Faridpur,Boalmari,23.4829,89.6862
116,SW168,Faridpur,Kumar_Faridpur,Tidal,Faridpur,Faridpur Sadar,23.6010,89.8318
117,SW101,Kamarkhali Transit,Gorai-Madhumati-Haringhata-Baleswar,Non-Tidal,Faridpur,Madhukhali,23.5391,89.5169
118,SW101.5,Kamarkhali (Gondhakhali),Gorai-Madhumati-Haringhata-Baleswar,Non-Tidal,Faridpur,Madhukhali,23.5278,89.5253
119,SW4A,Offtake of Arialkhan,Arial Khan,Tidal,Faridpur,Sadarpur,23.4333,90.0877
120,SW85,Sobhapur,Feni,Tidal,Feni,Chhagalnaiya,22.9549,91.5500
121,SW86,Shuvopur(Dhumghat),Feni,Tidal,Feni,Chhagalnaiya,22.9538,91.5442
122,SW257,Malipur_C,Selonia,Tidal,Feni,Chhagalnaiya,23.0377,91.4389
123,SW213,Haripur_C,Muhuri,Tidal,Feni,Chhagalnaiya,23.0356,91.4856
124,SW212.5,Fulgazi,Muhuri,Non-Tidal,Feni,Fulgazi,23.1510,91.4362
125,SW257.5,Suber Bazar,Selonia,Tidal,Feni,Parshuram,23.2370,91.4144
126,SW212,Parshuram,Muhuri,Non-Tidal,Feni,Parshuram,23.2274,91.4464
127,SW87,Sonapur,Feni,Tidal,Feni,Sonagazi,22.8369,91.4530
128,SW46.7R,Kristomonichar,Brahmaputra-Jamuna,Tidal,Gaibandha,Fulchhari,25.2059,89.6800
129,SW46.9R,Fulchari_Transit,Brahmaputra-Jamuna,Non-Tidal,Gaibandha,Fulchhari,25.1871,89.5993
130,SW46,Kamarjani,Brahmaputra-Jamuna,Non-Tidal,Gaibandha,Fulchhari,25.4094,89.6259
131,SW97,Gaibandha,Ghagot,Non-Tidal,Gaibandha,Gaibandha Sadar,25.3392,89.5510
132,SW155,Mohimaganj Railway Crossi,Katakhali,Non-Tidal,Gaibandha,Gobindaganj,25.1112,89.5040
133,SW63,Chak-Rahimpur,Deonai_Charalkata_Jamuneswari_Karatoa,Non-Tidal,Gaibandha,Gobindaganj,25.1475,89.3600
134,SW47.3R,Patilbarichar,Brahmaputra-Jamuna,Tidal,Gaibandha,Saghatta,25.0791,89.6100
135,SW46.5,Saghata,Brahmaputra-Jamuna,Non-Tidal,Gaibandha,Saghatta,25.1075,89.5866
136,SW294.5,Haripur,Teesta,Non-Tidal,Gaibandha,Sundarganj,25.5192,89.6506
137,SW7,Pubail,Balu,Tidal,Gazipur,Gazipur Sadar,23.9349,90.4898
138,SW301,Kaliakoir,Turag,Non-Tidal,Gazipur,Kaliakair,24.0822,90.2076
139,SW229,Toke,Old Brahmaputra,Tidal,Gazipur,Sreepur,24.2631,90.6426
140,SW198,Haridaspur,Madaripur Beel Route,Tidal,Gopalganj,Gopalganj Sadar,23.0296,89.8144
141,SW102,Bhatiapara,Gorai-Madhumati-Haringhata-Baleswar,Tidal,Gopalganj,Kashiani,23.2151,89.6959
142,SW271,Azmiriganj,Surma-Meghna,Tidal,Habiganj,Ajmiriganj,24.5529,91.2267
143,SW138,Sofiabad,Korangi,Non-Tidal,Habiganj,Bahubal,24.2930,91.5465
144,SW270,Markuli,Surma-Meghna,Tidal,Habiganj,Baniachong,24.6952,91.3790
145,SW158,Chunarghat,Khowai,Non-Tidal,Habiganj,Chunarughat,24.2026,91.5273
146,SW157,Ballah,Khowai,Non-Tidal,Habiganj,Chunarughat,24.0838,91.5961
147,SW159,Habiganj,Khowai,Non-Tidal,Habiganj,Habiganj Sadar,24.3681,91.4277
148,SW158.1,Shaistaganj,Khowai,Non-Tidal,Habiganj,Habiganj Sadar,24.2731,91.4736
149,SW280,Sutang Rly.Brid,Sutang,Non-Tidal,Habiganj,Habiganj Sadar,24.2828,91.4030
150,SW272,Madna,Surma-Meghna,Tidal,Habiganj,Lakhai,24.3358,91.2376
151,SW264A,Montala,Sonai,Non-Tidal,Habiganj,Madhabpur,24.0834,91.3506
152,SW223,Goal Kanda,Nil Jinjiram,Non-Tidal,Jamalpur,Dewanganj,25.3652,89.8095
153,SW46.7L,Kholabarichar,Old Brahmaputra,Non-Tidal,Jamalpur,Dewanganj,25.2275,89.7532
154,SW47.3L,Jognaichar,Brahmaputra-Jamuna,Tidal,Jamalpur,Islampur,25.0634,89.6900
155,SW47,Bahadurabad,Brahmaputra-Jamuna,Non-Tidal,Jamalpur,Islampur,25.1106,89.6800
156,SW46.9L,Bahadurabad_Transit,Brahmaputra-Jamuna,Non-Tidal,Jamalpur,Islampur,25.1303,89.7346
157,SW225,Jamalpur,Old Brahmaputra,Non-Tidal,Jamalpur,Jamalpur Sadar,24.9224,89.9677
158,SW134B,Offtake of Jhenai,Jhenai,Non-Tidal,Jamalpur,Melandaha,24.9495,89.8987
159,SW48,Jaganathganj,Brahmaputra-Jamuna,Non-Tidal,Jamalpur,Sarishabari,24.6419,89.8046
160,SW134A,Baushi Bridge,Jhenai,Non-Tidal,Jamalpur,Sarishabari,24.7802,89.8521
161,SW161,Tahirpur,Kobadak,Non-Tidal,Jessore,Chaugachha,23.3464,89.0274
162,SW30,Afraghat,Bhairab(lower),Tidal,Jessore,Jessore Sadar,23.1174,89.3849
163,SW162,Jhikargacha,Kobadak,Tidal,Jessore,Jhikargachha,23.1054,89.0938
164,SW27,Keshabpur,Bhadra,Tidal,Jessore,Keshabpur,22.9092,89.2217
165,SW22,Navaron,Betna-Kholpetua,Tidal,Jessore,Sharsha,23.0573,89.0053
166,SW37,Jhalokati,Bishkhali,Tidal,Jhalokathi,Jhalokati Sadar,22.6432,90.2077
167,SW215,Jhenaidah,Nabaganga,Non-Tidal,Jhenaidah,Jhenaidah Sadar,23.5483,89.1754
168,SW171,Garaganj,Kumar (Jessore),Non-Tidal,Jhenaidah,Shailkupa,23.6683,89.2000
169,SW325,Sonaimukhi,Tulshiganga,Non-Tidal,Joypurhat,Akkelpur,24.9654,89.0229
170,SW132.5,Joypurhat,Little Jamuna,Non-Tidal,Joypurhat,Joypurhat Sadar,25.1097,88.9968
171,SW361,Dighinala,Maine,Non-Tidal,Khagrachhari,Dighinala,23.2529,92.0689
172,SW360,Khagrachhari,Chengi,Non-Tidal,Khagrachhari,Khagrachhari Sadar,23.1036,91.9689
173,SW116,Manikchari,Halda,Tidal,Khagrachhari,Manikchhari,22.8680,91.8800
174,SW84,Ramgarh,Feni,Non-Tidal,Khagrachhari,Ramgarh,23.0003,91.7312
175,SW29,Sutarkhali_Forest Office,Bhadra,Tidal,Khulna,Dacope,22.4993,89.4891
176,SW243,Chalna,Rupsa-Pasur,Tidal,Khulna,Dacope,22.6003,89.5220
177,SW259,Nalianala_Hadda,Sibsa,Tidal,Khulna,Dacope,22.4608,89.4353
178,SW28,Dumuria,Bhadra,Tidal,Khulna,Dumuria,22.6468,89.4287
179,SW241,Khulna,Rupsa-Pasur,Tidal,Khulna,Khulna Sadar,22.8176,89.5690
180,SW165,Kobadak Forest Office,Kobadak,Tidal,Khulna,Koyra,22.2205,89.3107
181,SW164,Chandkhali,Kobadak,Tidal,Khulna,Paikgachha,22.4927,89.2567
182,SW258,Paikgacha,Sibsa,Tidal,Khulna,Paikgachha,22.5821,89.3043
183,SW272.1,Austogram,Surma-Meghna,Tidal,Kishoreganj,Astagram,24.2748,91.0989
